question,answer
What is the primary objective of the RBI's consolidated circular on current accounts?,The main objective is to enforce credit discipline among borrowers and facilitate better monitoring by lenders. This is achieved by regulating how and where borrowers with existing credit facilities can open an
What is the applicability of the CA circular?,The provisions of these instructions shall apply to current accounts and CC/OD accounts opened or maintained with the following Regulated Entities (REs):
What is total credit exposure under CA circular?,"Exposure mean sum of sanctioned fund based and non-fund-based credit facilities availed by the borrower. All such credit facilities carried in their Indian books shall be included for the purpose of exposure calculation. Exposure from Scheduled Commercial Banks and Payments Banks is included. However, exposure of NBFC, FI, Co-operative banks is excluded from exposure.
"
Are there any exemptions to the restrictions in the consolidated circular,"4.1 Banks are permitted to open and operate the following accounts without any of the restrictions placed in terms of paras 1, 2 and 3 of this Circular:
(a) Specific accounts which are stipulated under various statutes and specific instructions of other regulators/ regulatory departments/ Central and State Governments. An indicative list of such accounts is given below:
(i) Accounts for real estate projects mandated under Section 4 (2) l (D) of the Real Estate (Regulation and Development) Act, 2016 for the purpose of maintaining 70 per cent of advance payments collected from the home buyers

Accounts attached by orders of Central or State governments/ regulatory body/ Courts/ investigating agencies etc. wherein the customer cannot undertake any discretionary debits
(ii) Nodal or escrow accounts of payment aggregators/ prepaid payment instrument issuers for specific activities as permitted by Department of Payments and Settlement Systems (DPSS), Reserve Bank of India under Payment and Settlement Systems Act, 2007
(iii) Accounts for the purpose of IPO/ NFO/ FPO/ share buyback/ dividend payment/ issuance of commercial papers/ allotment of debentures/ gratuity etc. which are mandated by respective statutes or by regulators and are meant for specific/ limited transactions only
(b) Accounts opened as per the provisions of Foreign Exchange Management Act, 1999 (FEMA) and notifications issued thereunder including any other current account if it is mandated for ensuring compliance under the FEMA framework
(c) Accounts for payment of taxes, duties, statutory dues, etc. opened with banks authorized to collect the same, for borrowers of such banks which are not authorized to collect such taxes, duties, statutory dues, etc.
(d) Accounts for settlement of dues related to debit card/ ATM card/ credit card issuers/ acquirers
(e) Accounts of White Label ATM Operators and their agents for sourcing of currency
(f) Accounts of Cash-in-Transit (CIT) Companies/ Cash Replenishment Agencies (CRAs) for providing cash management services
(g) Accounts opened by a bank funding a specific project for receiving/monitoring cash flows of that specific project, provided the borrower has not availed any CC/OD facility for that project
(h) Inter-bank accounts
(i) Accounts of All India Financial Institutions (AIFIs), viz., EXIM Bank, NABARD, NHB, and SIDBI"
When can we open collection accounts?,"Collection account can be opened when I)When client has OD from banking system including our bank and our share is less than 10% II) Client does not have CC/OD from banking system, but total exposure is Rs 5 - 50 Crores

Banks maintaining accounts listed in para 4.1 shall ensure that these accounts are used for permitted/ specified transactions only. Further, banks shall flag these accounts in the CBS for easy monitoring. Lenders to such borrowers may also enter into agreements/ arrangements with the borrowers for monitoring of cash flows/ periodic transfer of funds (if permissible) in these accounts."
In what situations we cannot open current accounts?,Current or collection accounts cannot be opened in following situtation i) We are non lender and total banking exposure is more than Rs 50 Cr. Ii) The client has CC/OD with banks other than our bank
What is the treatment of term loans in the circular,"Banks should not route drawal from term loans through CC/ OD/ Current accounts of the borrower. Since term loans are meant for specific purposes, the funds should be remitted directly to the supplier of goods and services. In cases where term loans are meant for purposes other than for supply of goods and services and where the payment destination is identifiable, banks shall ensure that payment is made directly, without routing it through an account of the borrower. However, where the payment destination is unidentifiable, banks may route such term loans through an account of the borrower opened as per the provisions of the circular. Expenses incurred by the borrower for day-to-day operations may be routed through an account of the borrower."
What is the requirement of half yearly monitoring,"All banks, whether lending banks or otherwise, shall monitor all accounts regularly, at least on a half-yearly basis, specifically with respect to the aggregate exposure of the banking system to the borrower, and the banks share in that exposure, to ensure compliance with these instructions. If there is a change in exposure of a particular bank or aggregate exposure of the banking system to the borrower which warrants implementation of new banking arrangements, such changes shall be implemented within a period of three months from the date of such monitoring."
Whether banks are required to obtain No Objection Certificate (NOC) before opening current accounts as per the revised guidelines?,"The previous guidelines which required banks to obtain NOC before opening current accounts have been replaced by the revised guidelines issued vide circular dated August 6, 2020. The requirement of obtaining NOC is no more applicable."
How shall banks identify the aggregate exposure of the banking system to a customer/borrower for the purpose of opening current accounts and/or CC/OD accounts under these guidelines?,"Banks may compute the aggregate exposure for the purpose of these guidelines based on the information available from Central Repository of Information on Large Credits (CRILC), Credit Information Companies (CICs), National E-Governance Services Ltd. (NeSL), etc. and by obtaining customers declaration, if required."
